PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8476473,Connor Murphy,D,Chicago Blackhawks,50,3,12,15,66436,1
8479419,Brett Murray,L,Buffalo Sabres,2,0,0,0,1275,1
8476850,Ryan Murray,D,New Jersey Devils,48,0,14,14,53608,3
8474162,Jake Muzzin,D,Toronto Maple Leafs,53,4,23,27,68631,21
8479026,Philippe Myers,D,Philadelphia Flyers,44,1,10,11,49826,-10
8474574,Tyler Myers,D,Vancouver Canucks,55,6,15,21,72861,-8
8476480,Vladislav Namestnikov,C,Detroit Red Wings,53,8,9,17,51459,-5
8474062,Riley Nash,C,Columbus Blue Jackets,37,2,5,7,27964,-1
8471707,James Neal,L,Edmonton Oilers,29,5,5,10,21061,-2
8480039,Martin Necas,C,Carolina Hurricanes,53,14,27,41,54987,25
8475754,Brock Nelson,C,New York Islanders,56,18,15,33,59915,-5
8475747,Patrik Nemeth,D,"Detroit Red Wings,Colorado Avalanche",52,3,7,10,56194,5
8474604,Aaron Ness,D,Arizona Coyotes,1,0,0,0,770,0
8476300,Nikita Nesterov,D,Calgary Flames,38,0,4,4,36165,-10
8481618,Alex Newhook,C,Colorado Avalanche,6,0,3,3,4924,5
8477501,Valeri Nichushkin,R,Colorado Avalanche,55,10,11,21,46468,9
8475799,Nino Niederreiter,R,Carolina Hurricanes,56,20,14,34,52811,20
8470144,Frans Nielsen,C,Detroit Red Wings,29,1,5,6,21115,-3
8476442,Matt Nieto,L,San Jose Sharks,28,5,2,7,23511,-4
8478915,Sami Niku,D,Winnipeg Jets,6,0,0,0,4668,-3
8476474,Stefan Noesen,R,"San Jose Sharks,Toronto Maple Leafs",6,0,0,0,3459,0
8475807,Joakim Nordstrom,C,Calgary Flames,44,1,6,7,30508,1
8480064,Josh Norris,C,Ottawa Senators,56,17,18,35,55334,-12
8477931,Tomas Nosek,L,Vegas Golden Knights,38,8,10,18,29642,7
8476454,Ryan Nugent-Hopkins,C,Edmonton Oilers,52,16,19,35,64810,-4
8477498,Darnell Nurse,D,Edmonton Oilers,56,16,20,36,86100,27
8478906,Markus Nutivaara,D,Florida Panthers,30,0,10,10,28756,1
8481638,Joakim Nygard,L,Edmonton Oilers,9,0,0,0,4940,-2
8477939,William Nylander,R,Toronto Maple Leafs,51,17,25,42,50798,10
8477070,Liam O'Brien,C,Colorado Avalanche,12,0,3,3,4730,1
8482055,Drew O'Connor,L,Pittsburgh Penguins,10,0,1,1,5372,-2
8481186,Logan O'Connor,R,Colorado Avalanche,22,3,2,5,14442,6
8475158,Ryan O'Reilly,C,St. Louis Blues,56,24,30,54,69716,26
8477851,Jordan Oesterle,D,Arizona Coyotes,43,1,10,11,46185,-10
8473449,Kyle Okposo,R,Buffalo Sabres,35,2,11,13,29151,-1
8476467,Jamie Oleksiak,D,Dallas Stars,56,6,8,14,68804,-3
